replicate,K_W_per_K,UA_W_per_K,SSE,success
1,28091.882451306614,1799.078276796037,1.2443671768315716,True
2,28366.803572134013,1796.1526061496043,1.0407982371810496,True
3,28164.155529786327,1801.6779291943417,1.2046291438393797,True
4,28015.494957918683,1799.9856488848638,1.4082766759449419,True
5,27891.961844794852,1795.4987479809383,1.4014278921989831,True
6,27587.23935162438,1797.4895772974282,1.4070621277845026,True
7,28237.56429536535,1795.8511504295532,1.2217432667146668,True
8,27958.744437097524,1801.6987648317058,1.0076115959286502,True
9,27486.90337885188,1796.343797862906,1.0557829246998764,True
10,27973.281669987828,1795.5445440126448,0.851025442681251,True
11,27809.46259735086,1800.6703939264892,1.2695216843835135,True
12,28016.660800462672,1802.259442595875,0.9180511533848176,True
13,27865.798761107264,1800.5226007588885,1.0527841343747109,True
14,27940.71218183609,1800.8953002866642,1.2819696812917147,True
15,27738.17424533956,1804.273027439112,0.6823092303198106,True
16,27797.64977090146,1802.1554064570814,1.1830858041319126,True
17,27721.27199750076,1794.1762712501413,0.8669648602006688,True
18,28028.820377164833,1799.4623583350317,1.1922437636217653,True
19,27848.64225622204,1799.7341923519346,1.2894325536898625,True
20,28116.34800112986,1797.646518487135,0.6604960182971162,True
21,28449.69040929656,1794.6868141357847,0.8631598315045155,True
22,27965.46976419387,1799.1729046073388,1.3982699663442026,True
23,28254.07032832271,1797.5395774999795,1.1782668348933711,True
24,27952.35290064046,1796.6945516312896,0.667024058541581,True
25,28053.704898128894,1798.4954136046722,1.0913820964782739,True
26,27752.853553517984,1793.6962585207916,1.1404382164882916,True
27,27687.758139661633,1801.3261957670866,0.9126103418140524,True
28,28033.537781626128,1798.0471181746586,1.5115664527759225,True
29,28290.678413049765,1796.1533657572647,1.1449573015017196,True
30,27931.789106268967,1795.6436957471867,1.1901719929309027,True
31,28082.33857135325,1799.1375050707709,1.0068475634948075,True
32,28105.50266958659,1797.5850809411586,0.8808706398822523,True
33,27708.806444909984,1800.397342097468,1.1564270202962517,True
34,27615.6081094742,1798.95894721942,0.9229327793748642,True
35,27895.814834509125,1800.8387525398425,0.9555636020316496,True
36,27746.445973127724,1802.3454250271836,1.524441489100568,True
37,27925.65407773905,1796.8404256062108,1.0849452196286278,True
38,27999.218422570044,1796.3370054121647,0.6775927305727729,True
39,27995.59417437687,1800.6988581479943,1.1374209835889388,True
40,27932.000433481822,1801.5381195832906,0.967270726144418,True
41,28037.81897886869,1799.0854729269965,1.5081087659227483,True
42,27996.10154187668,1800.270355432171,1.145872911852857,True
43,27888.131420279937,1803.5543421940642,1.2901748114200595,True
44,27931.754017313822,1795.3185848935723,1.6311278786661951,True
45,28166.595116921308,1801.117199749772,1.0144981266222346,True
46,27851.796570002436,1798.4728856428085,0.9875881348463007,True
47,27698.52617578796,1802.7059770772476,1.2645920902356877,True
48,28061.839128428477,1800.5404249257062,1.2117868190502654,True
49,27621.922098672905,1803.4999743083874,0.9106400226549747,True
50,28092.329548373662,1798.0485906991937,1.0697551507865404,True
51,28062.091796798268,1803.0643740265084,0.9644464167709897,True
