算法,运行序号,随机种子,K_W_per_K,UA_W_per_K,SSE,RMSE_C,MAE_C,MaxAbsError_C,运行时间_s,成功,迭代信息
非线性最小二乘,1,20260825,27973.460360110577,1798.8275110719017,1.267533677656409,0.24568017126961447,0.2028299617403599,0.43288306012971134,0.026185000000000125,True,`xtol` termination condition is satisfied.
差分进化,1,20260825,27973.460577457692,1798.8275095567064,1.2675336776566395,0.2456801712696368,0.20282996802763992,0.4328830458103994,0.2789488,True,Optimization terminated successfully.
网格+局部优化,1,20260825,27973.46365473379,1798.8274671754803,1.2675336776472577,0.24568017126872757,0.20283002290799568,0.4328833244953785,0.8677414000000001,True,`xtol` termination condition is satisfied.
非线性最小二乘,2,20260826,27973.462069738016,1798.8274920993108,1.2675336776499986,0.24568017126899322,0.2028299996887394,0.4328831097720922,0.009077500000000072,True,`xtol` termination condition is satisfied.
差分进化,2,20260826,27973.460985157104,1798.8274894031238,1.2675336776479906,0.24568017126879862,0.20282995158497724,0.43288341715594925,0.31855520000000004,True,Optimization terminated successfully.
网格+局部优化,2,20260826,27973.46365473379,1798.8274671754803,1.2675336776472577,0.24568017126872757,0.20283002290799568,0.4328833244953785,0.8555604000000003,True,`xtol` termination condition is satisfied.
非线性最小二乘,3,20260827,27973.456643569716,1798.8275166449564,1.2675336776895605,0.24568017127282726,0.20282982106314626,0.4328837727395012,0.00871719999999998,True,`xtol` termination condition is satisfied.
差分进化,3,20260827,27973.462355742944,1798.827467144061,1.2675336776480992,0.24568017126880917,0.2028299705106931,0.4328836190941274,0.2984447000000001,True,Optimization terminated successfully.
网格+局部优化,3,20260827,27973.46365473379,1798.8274671754803,1.2675336776472577,0.24568017126872757,0.20283002290799568,0.4328833244953785,0.8308186999999996,True,`xtol` termination condition is satisfied.
