算法,K均值,K标准差,UA均值,UA标准差,SSE均值,RMSE均值_C,最大绝对误差均值_C,运行时间均值_s,成功率
非线性最小二乘,27973.459691139436,0.00277425078086746,1798.8275066053895,1.2867963198216514e-05,1.2675336776653225,0.24568017127047834,0.43288331421376824,0.014659900000000059,1.0
差分进化,27973.461306119247,0.0009315777656372845,1798.827488701297,2.1215031076315464e-05,1.2675336776509099,0.2456801712690815,0.43288336068682537,0.2986495666666667,1.0
网格+局部优化,27973.46365473379,0.0,1798.82746717548,0.0,1.2675336776472577,0.24568017126872757,0.4328833244953785,0.8513734999999999,1.0
