us_scale,keff_scale,Ta_C,undersupply_MWh,min_T1_C,outlet_margin_C,terminal_ratio,pump_kWh,feasible
0.9717149062798955,0.8700024550879595,34.648056832273674,50.807894036570325,288.996666276825,-211.003333723175,-0.0032903276699989634,478.92105336369065,False
0.9804701186949617,0.9816498424234967,18.673025551352033,50.84759315247966,288.9220395214668,-211.0779604785332,-0.0035316895640201103,478.92105336369065,False
1.0747549483773315,0.9723202708372488,30.2347051114973,50.887569738196746,288.86553961761086,-211.13446038238914,-0.0037104636175317148,478.92105336369065,False
0.9909180297735481,1.0067035240939042,25.39666936684892,50.8407012911077,288.93901673138384,-211.06098326861616,-0.003478967538666032,478.92105336369065,False
1.0152303367733868,1.0277192559726445,29.295972332452564,50.8490711969802,288.92886585355427,-211.07113414644573,-0.0035120863223219085,478.92105336369065,False
0.8746379903877444,0.9088258791663056,29.328431115876135,50.75257642712617,289.08379544778927,-210.91620455221073,-0.0030158109542167875,478.92105336369065,False
1.0886677542411116,1.0379292557159083,33.39080079384957,50.88977092188169,288.8661422953423,-211.13385770465771,-0.0037114805537142776,478.92105336369065,False
0.8966762311207169,0.8818657498144914,31.497299781920436,50.76345587695036,289.06696008188464,-210.93303991811536,-0.0030680429151153763,478.92105336369065,False
1.0230712996781357,0.8789616533247432,33.913177461087045,50.844089890024264,288.93738018858477,-211.06261981141523,-0.0034786196149907246,478.92105336369065,False
0.9403521889561766,1.1852597114787928,18.72399818961105,50.819376550301456,288.97313323931894,-211.02686676068106,-0.0033785366548821265,478.92105336369065,False
0.9176080478696236,1.180397487676568,17.0419324477365,50.806593852870655,288.9928684585462,-211.00713154145382,-0.0033157055861063687,478.92105336369065,False
0.9251304632841554,1.188750970464506,15.37448877326916,50.81526967826545,288.9776054700876,-211.0223945299124,-0.0033644939996114124,478.92105336369065,False
1.141807233640181,0.8610570280045986,31.87453974095429,50.92913900716769,288.79669382455364,-211.20330617544636,-0.003923774333968895,478.92105336369065,False
1.088496114857034,1.0777890792356293,33.56908293175027,50.889293091526966,288.86798224035533,-211.13201775964467,-0.0037074220688429562,478.92105336369065,False
1.100133083396388,1.1863414798229548,27.340386257255588,50.912018524873666,288.82800847808596,-211.17199152191404,-0.0038391174514718408,478.92105336369065,False
1.1403440062305368,1.106128767073285,32.19403168143735,50.927700210921735,288.80484948642953,-211.19515051357047,-0.003908981028378573,478.92105336369065,False
