us_scale,keff_scale,Ta_C,undersupply_MWh,min_T1_C,outlet_margin_C,terminal_ratio,pump_kWh,feasible
0.85,0.8,15.0,50.761743623484094,289.05683183255655,-210.94316816744345,-0.0030966878490865887,478.92105336369065,False
0.85,0.8,35.0,50.72519610892968,289.1298932874398,-210.8701067125602,-0.0028652447256475072,478.92105336369065,False
0.85,1.2,15.0,50.76225805886005,289.0650076638547,-210.93499233614529,-0.003087668322475386,478.92105336369065,False
0.85,1.2,35.0,50.72572168540811,289.13807180858595,-210.86192819141405,-0.0028558720444526015,478.92105336369065,False
1.15,0.8,15.0,50.976301789366396,288.7030854317325,-211.29691456826748,-0.0042176347804311985,478.92105336369065,False
1.15,0.8,35.0,50.92689482938122,288.80185426493165,-211.19814573506835,-0.003904694908214759,478.92105336369065,False
1.15,1.2,15.0,50.97684052267093,288.7112148757627,-211.28878512423728,-0.004210374815633809,478.92105336369065,False
1.15,1.2,35.0,50.92744864158805,288.80998723852855,-211.19001276147145,-0.003896957987753443,478.92105336369065,False
