time_s,T1_C,T2_C,T3_C,T4_C,T5_C,delta_T12_C,delta_T23_C,delta_T34_C,delta_T45_C,power_MW,cumulative_heat_GJ
33.50000000,564.50518992,554.34671176,519.04581426,429.60590564,330.88072639,10.15847816,35.30089750,89.43990861,98.72517925,0.00000000,0.00000000
34.00000000,564.49779411,554.33695295,519.03164966,429.60008526,330.89376049,10.16084116,35.30530329,89.43156440,98.70632477,0.00000000,0.00000000
34.50000000,564.49039798,554.32719390,519.01748731,429.59426667,330.90679134,10.16320408,35.30970659,89.42322064,98.68747532,0.00000000,0.00000000
35.00000000,564.48300154,554.31743462,519.00332721,429.58844987,330.91981895,10.16556692,35.31410741,89.41487734,98.66863092,0.00000000,0.00000000
35.50000000,564.47560479,554.30767511,518.98916937,429.58263486,330.93284331,10.16792968,35.31850574,89.40653451,98.64979155,0.00000000,0.00000000
36.00000000,564.46820772,554.29791536,518.97501378,429.57682165,330.94586443,10.17029236,35.32290159,89.39819212,98.63095722,0.00000000,0.00000000
36.50000000,564.46081035,554.28815539,518.96086043,429.57101023,330.95888231,10.17265496,35.32729495,89.38985020,98.61212793,0.00000000,0.00000000
37.00000000,564.45341266,554.27839518,518.94670934,429.56520060,330.97189694,10.17501748,35.33168584,89.38150874,98.59330366,0.00000000,0.00000000
37.50000000,564.44601467,554.26863474,518.93256050,429.55939276,330.98490833,10.17737992,35.33607425,89.37316774,98.57448443,0.00000000,0.00000000
38.00000000,564.43861636,554.25887408,518.91841390,429.55358671,330.99791648,10.17974228,35.34046017,89.36482719,98.55567023,0.00000000,0.00000000
38.50000000,564.43121774,554.24911318,518.90426956,429.54778244,331.01092139,10.18210456,35.34484362,89.35648711,98.53686105,0.00000000,0.00000000
39.00000000,564.42381881,554.23935205,518.89012746,429.54197997,331.02392306,10.18446676,35.34922460,89.34814749,98.51805691,0.00000000,0.00000000
39.50000000,564.41641957,554.22959070,518.87598760,429.53617928,331.03692149,10.18682888,35.35360309,89.33980833,98.49925778,0.00000000,0.00000000
40.00000000,564.40902002,554.21982911,518.86185000,429.53038037,331.04991669,10.18919091,35.35797911,89.33146963,98.48046368,0.00000000,0.00000000
40.50000000,564.40162016,554.21006730,518.84771464,429.52458326,331.06290865,10.19155286,35.36235266,89.32313138,98.46167461,0.00000000,0.00000000
41.00000000,564.39421998,554.20030525,518.83358153,429.51878792,331.07589737,10.19391473,35.36672373,89.31479361,98.44289055,0.00000000,0.00000000
41.50000000,564.38681950,554.19054299,518.81945066,429.51299437,331.08888286,10.19627651,35.37109233,89.30645629,98.42411151,0.00000000,0.00000000
42.00000000,564.37941870,554.18078049,518.80532204,429.50720260,331.10186512,10.19863822,35.37545845,89.29811943,98.40533748,0.00000000,0.00000000
42.50000000,564.37201760,554.17101777,518.79119566,429.50141262,331.11484414,10.20099983,35.37982211,89.28978304,98.38656848,0.00000000,0.00000000
43.00000000,564.36461618,554.16125482,518.77707152,429.49562441,331.12781993,10.20336137,35.38418329,89.28144711,98.36780448,0.00000000,0.00000000
43.50000000,564.35721445,554.15149164,518.76294963,429.48983799,331.14079249,10.20572281,35.38854201,89.27311164,98.34904550,0.00000000,0.00000000
44.00000000,564.34981241,554.14172824,518.74882998,429.48405334,331.15376182,10.20808417,35.39289826,89.26477664,98.33029152,0.00000000,0.00000000
44.50000000,564.34241006,554.13196461,518.73471257,429.47827048,331.16672792,10.21044545,35.39725204,89.25644209,98.31154256,0.00000000,0.00000000
45.00000000,564.33500740,554.12220076,518.72059741,429.47248939,331.17969079,10.21280664,35.40160335,89.24810802,98.29279860,0.00000000,0.00000000
45.50000000,564.32760443,554.11243668,518.70648448,429.46671008,331.19265043,10.21516775,35.40595220,89.23977440,98.27405965,0.00000000,0.00000000
46.00000000,564.32020115,554.10267238,518.69237380,429.46093255,331.20560685,10.21752876,35.41029859,89.23144125,98.25532570,0.00000000,0.00000000
46.50000000,564.31279755,554.09290786,518.67826535,429.45515679,331.21856004,10.21988969,35.41464251,89.22310856,98.23659675,0.00000000,0.00000000
47.00000000,564.30539365,554.08314311,518.66415915,429.44938281,331.23151001,10.22225054,35.41898397,89.21477634,98.21787280,0.00000000,0.00000000
47.50000000,564.29798944,554.07337815,518.65005518,429.44361060,331.24445675,10.22461129,35.42332296,89.20644458,98.19915386,0.00000000,0.00000000
48.00000000,564.29058491,554.06361295,518.63595346,429.43784017,331.25740026,10.22697196,35.42765949,89.19811329,98.18043990,0.00000000,0.00000000
48.50000000,564.28318007,554.05384754,518.62185397,429.43207151,331.27034056,10.22933253,35.43199357,89.18978246,98.16173095,0.00000000,0.00000000
49.00000000,564.27577493,554.04408190,518.60775672,429.42630462,331.28327763,10.23169302,35.43632518,89.18145210,98.14302699,0.00000000,0.00000000
49.50000000,564.26836947,554.03431605,518.59366171,429.42053950,331.29621148,10.23405342,35.44065434,89.17312221,98.12432802,0.00000000,0.00000000
50.00000000,564.26096370,554.02454997,518.57956893,429.41477615,331.30914211,10.23641373,35.44498104,89.16479278,98.10563404,0.00000000,0.00000000
50.50000000,564.25355762,554.01478367,518.56547839,429.40901457,331.32206953,10.23877395,35.44930528,89.15646381,98.08694505,0.00000000,0.00000000
51.00000000,564.24615123,554.00501715,518.55139008,429.40325477,331.33499372,10.24113408,35.45362707,89.14813532,98.06826104,0.00000000,0.00000000
51.50000000,564.23874453,553.99525041,518.53730401,429.39749673,331.34791470,10.24349412,35.45794640,89.13980729,98.04958203,0.00000000,0.00000000
52.00000000,564.23133752,553.98548346,518.52322018,429.39174045,331.36083246,10.24585406,35.46226328,89.13147972,98.03090799,0.00000000,0.00000000
52.50000000,564.22393020,553.97571628,518.50913857,429.38598595,331.37374700,10.24821392,35.46657770,89.12315263,98.01223894,0.00000000,0.00000000
53.00000000,564.21652257,553.96594888,518.49505921,429.38023321,331.38665833,10.25057368,35.47088968,89.11482600,97.99357487,0.00000000,0.00000000
53.50000000,564.20911462,553.95618127,518.48098207,429.37448223,331.39956645,10.25293335,35.47519920,89.10649984,97.97491578,0.00000000,0.00000000
54.00000000,564.20170637,553.94641344,518.46690717,429.36873302,331.41247135,10.25529293,35.47950627,89.09817415,97.95626167,0.00000000,0.00000000
54.50000000,564.19429781,553.93664539,518.45283450,429.36298557,331.42537304,10.25765241,35.48381089,89.08984892,97.93761253,0.00000000,0.00000000
55.00000000,564.18688893,553.92687713,518.43876406,429.35723989,331.43827152,10.26001181,35.48811307,89.08152417,97.91896837,0.00000000,0.00000000
55.50000000,564.17947975,553.91710864,518.42469585,429.35149597,331.45116679,10.26237110,35.49241279,89.07319988,97.90032918,0.00000000,0.00000000
56.00000000,564.17207025,553.90733995,518.41062987,429.34575381,331.46405884,10.26473031,35.49671007,89.06487607,97.88169496,0.00000000,0.00000000
56.50000000,564.16466045,553.89757103,518.39656613,429.34001341,331.47694769,10.26708941,35.50100491,89.05655272,97.86306571,0.00000000,0.00000000
57.00000000,564.15725033,553.88780190,518.38250461,429.33427477,331.48983333,10.26944843,35.50529729,89.04822984,97.84444143,0.00000000,0.00000000
57.50000000,564.14983990,553.87803256,518.36844532,429.32853789,331.50271577,10.27180734,35.50958724,89.03990743,97.82582212,0.00000000,0.00000000
58.00000000,564.14242917,553.86826300,518.35438826,429.32280276,331.51559500,10.27416617,35.51387474,89.03158550,97.80720777,0.00000000,0.00000000
58.50000000,564.13501812,553.85849323,518.34033343,429.31706940,331.52847102,10.27652489,35.51815980,89.02326403,97.78859838,0.00000000,0.00000000
59.00000000,564.12760676,553.84872324,518.32628082,429.31133779,331.54134384,10.27888352,35.52244242,89.01494303,97.76999396,0.00000000,0.00000000
59.50000000,564.12019509,553.83895304,518.31223045,429.30560794,331.55421345,10.28124205,35.52672259,89.00662251,97.75139449,0.00000000,0.00000000
60.00000000,564.11278312,553.82918263,518.29818229,429.29987984,331.56707986,10.28360049,35.53100033,88.99830245,97.73279998,0.00000000,0.00000000
60.50000000,564.10537083,553.81941200,518.28413637,429.29415350,331.57994307,10.28595883,35.53527563,88.98998287,97.71421043,0.00000000,0.00000000
61.00000000,564.09795823,553.80964116,518.27009267,429.28842891,331.59280307,10.28831707,35.53954849,88.98166376,97.69562584,0.00000000,0.00000000
61.50000000,564.09054532,553.79987011,518.25605119,429.28270608,331.60565988,10.29067521,35.54381892,88.97334512,97.67704620,0.00000000,0.00000000
62.00000000,564.08313210,553.79009885,518.24201194,429.27698499,331.61851349,10.29303325,35.54808690,88.96502695,97.65847150,0.00000000,0.00000000
62.50000000,564.07571857,553.78032738,518.22797492,429.27126566,331.63136390,10.29539119,35.55235246,88.95670926,97.63990176,0.00000000,0.00000000
63.00000000,564.06830473,553.77055569,518.21394012,429.26554808,331.64421111,10.29774904,35.55661558,88.94839203,97.62133697,0.00000000,0.00000000
63.50000000,564.06089058,553.76078380,518.19990754,429.25983225,331.65705512,10.30010678,35.56087626,88.94007529,97.60277713,0.00000000,0.00000000
64.00000000,564.05347612,553.75101169,518.18587718,429.25411817,331.66989594,10.30246443,35.56513452,88.93175901,97.58422223,0.00000000,0.00000000
64.50000000,564.04606135,553.74123938,518.17184904,429.24840584,331.68273356,10.30482197,35.56939034,88.92344321,97.56567227,0.00000000,0.00000000
65.00000000,564.03864627,553.73146686,518.15782313,429.24269525,331.69556799,10.30717941,35.57364373,88.91512788,97.54712726,0.00000000,0.00000000
65.50000000,564.03123088,553.72169413,518.14379944,429.23698641,331.70839922,10.30953676,35.57789469,88.90681302,97.52858719,0.00000000,0.00000000
66.00000000,564.02381518,553.71192119,518.12977796,429.23127932,331.72122726,10.31189399,35.58214322,88.89849864,97.51005206,0.00000000,0.00000000
66.50000000,564.01639917,553.70214804,518.11575871,429.22557397,331.73405211,10.31425113,35.58638933,88.89018474,97.49152186,0.00000000,0.00000000
67.00000000,564.00898285,553.69237468,518.10174168,429.21987037,331.74687377,10.31660817,35.59063300,88.88187131,97.47299660,0.00000000,0.00000000
67.50000000,564.00156622,553.68260112,518.08772686,429.21416851,331.75969224,10.31896510,35.59487425,88.87355835,97.45447627,0.00000000,0.00000000
68.00000000,563.99414928,553.67282735,518.07371427,429.20846840,331.77250752,10.32132193,35.59911308,88.86524587,97.43596088,0.00000000,0.00000000
68.50000000,563.98673203,553.66305337,518.05970389,429.20277003,331.78531961,10.32367866,35.60334948,88.85693386,97.41745042,0.00000000,0.00000000
69.00000000,563.97931447,553.65327919,518.04569573,429.19707339,331.79812851,10.32603528,35.60758346,88.84862234,97.39894488,0.00000000,0.00000000
69.50000000,563.97189660,553.64350480,518.03168979,429.19137850,331.81093423,10.32839180,35.61181501,88.84031128,97.38044428,0.00000000,0.00000000
70.00000000,563.96447842,553.63373021,518.01768606,429.18568536,331.82373676,10.33074821,35.61604415,88.83200070,97.36194860,0.00000000,0.00000000
70.50000000,563.95705993,553.62395541,518.00368455,429.17999395,331.83653610,10.33310452,35.62027086,88.82369060,97.34345784,0.00000000,0.00000000
71.00000000,563.94964113,553.61418040,517.98968525,429.17430427,331.84933226,10.33546072,35.62449515,88.81538098,97.32497201,0.00000000,0.00000000
