算法,最佳诊断流量均值_kg_s,最大最小裕量均值_C,违反量均值_C,运行时间均值_s
可行性判断+二分搜索,0.0,-105.27504581707285,105.27504581707285,0.008804299999999987
两级高精度网格搜索,0.0,-105.27504581707285,105.27504581707285,6.378239466666667
标量最大裕量优化,0.0,-105.27504581707285,105.27504581707285,0.25430290000000016
