time_s,demand_MW,actual_MW,q_kg_s,T1_C,T2_C,T3_C,T4_C,T5_C
310,12.0,11.996094504673778,29.260229900096434,563.3494617919522,550.3719427141712,509.2780354376965,418.89906838875066,326.1292150619716
320,12.0,11.993470493023386,29.260229900096434,563.2898752026507,550.2101873633737,508.93052113169455,418.55343029893726,326.0100866405434
330,12.0,11.990828984390566,29.260229900096434,563.2298905441367,550.0477312247383,508.58305638074796,418.2086766584082,325.8913530547649
340,12.0,11.988169927956168,29.260229900096434,563.1695066504401,549.8845772915943,508.2356442762407,417.8648053816963,325.773012942544
350,12.0,11.985493273610937,29.260229900096434,563.1087223717982,549.7207285567404,507.8882878893739,417.521814387234,325.6550649466852
360,12.0,11.982798971952644,29.260229900096434,563.0475365745899,549.556188012372,507.5409902712636,417.17970159735165,325.5375077148711
370,12.0,11.980086974283214,29.260229900096434,562.9859481412702,549.3909586500089,507.1937544530384,416.838464938277,325.4203398996445
380,12.0,11.977357232605831,29.260229900096434,562.9239559703049,549.2250434604236,506.8465834459365,416.49810234013364,325.30356015838987
390,12.0,11.974609699622084,29.260229900096434,562.8615589761042,549.058445433571,506.4994802414021,416.15861173693963,325.18716715331544
400,12.0,11.971844328729041,29.260229900096434,562.7987560889582,548.8911675585173,506.152447811182,415.8199910666066,325.0711595514349
410,12.0,11.969061074016404,29.260229900096434,562.7355462549699,548.7232128233709,505.80548910742107,415.482238270938,324.9555360245497
420,12.0,11.96625989026362,29.260229900096434,562.6719284359908,548.5545842152137,505.4586070627578,415.14535129562813,324.84029524923096
430,12.0,11.963440732937002,29.260229900096434,562.6079016095545,548.3852847200324,505.1118045904192,414.8093280902603,324.72543590680164
440,12.0,11.960603558186818,29.260229900096434,562.5434647688108,548.2153173226508,504.7650845843155,414.4741666083056,324.61095668331876
450,12.0,11.95774832284443,29.260229900096434,562.478616922461,548.0446850066633,504.4184499191342,414.13986480712134,324.4968562695558
460,12.0,11.954874984419423,29.260229900096434,562.413357094691,547.8733907543677,504.07190345043387,413.8064206479495,324.38313336098497
470,12.0,11.951983501096686,29.260229900096434,562.3476843251065,547.7014375467004,503.7254480147374,413.47383209591504,324.26978665775965
