R_m,H_m,V_m3,surface_m2,mass_kg,K_W_K,UA_top_W_K,energy_upper_MWh
2.0,9.875,124.09290981679683,149.22565104551518,223367.2376702343,604.4583333489222,119.63184824869933,17.683239648893547
2.0,10.0,125.66370614359172,150.79644737231007,226194.6710584651,596.9026041820607,120.63715789784806,17.90707812546182
2.05,5.0,66.01271563355552,90.80773565201295,118822.88814039991,1254.2415970375548,83.4658336205736,9.40681197778166
2.05,5.125,67.6630335243944,92.41780188697771,121793.4603439099,1223.6503385732242,84.49627601095105,9.6419822772262
2.05,5.25,69.31335141523329,94.0278681219425,124764.03254741992,1194.515806702433,85.52671840132851,9.877152576670744
2.05,5.375,70.96366930607218,95.63793435690727,127734.60475092992,1166.7363693372604,86.55716079170597,10.112322876115286
2.05,5.5,72.61398719691107,97.24800059187203,130705.17695443993,1140.2196336705044,87.58760318208343,10.347493175559828
2.05,5.625,74.26430508774995,98.85806682683679,133675.7491579499,1114.8814195889377,88.61804557246087,10.582663475004368
2.05,5.75,75.91462297858884,100.46813306180158,136646.3213614599,1090.6448669891781,89.64848796283832,10.81783377444891
2.05,5.875,77.56494086942773,102.07819929676634,139616.8935649699,1067.439657053238,90.67893035321578,11.053004073893451
2.05,6.0,79.21525876026661,103.6882655317311,142587.4657684799,1045.201330864629,91.70937274359322,11.288174373337991
2.05,6.125,80.8655766511055,105.29833176669587,145558.0379719899,1023.8706914592285,92.73981513397068,11.523344672782533
2.05,6.25,82.51589454194439,106.90839800166063,148528.6101754999,1003.3932776300439,93.77025752434812,11.758514972227076
2.05,6.375,84.16621243278328,108.51846423662542,151499.1823790099,983.7188996372979,94.80069991472558,11.993685271671618
2.05,6.5,85.81653032362216,110.12853047159018,154469.75458251988,964.8012284904269,95.83114230510303,12.228855571116156
2.05,6.625,87.46684821446105,111.73859670655494,157440.32678602988,946.5974317264565,96.86158469548049,12.464025870560699
2.05,6.75,89.11716610529994,113.3486629415197,160410.8989895399,929.067849657448,97.89202708585793,12.699196170005242
2.05,6.875,90.76748399613884,114.9587291764845,163381.47119304992,912.1757069364036,98.92246947623539,12.934366469449785
2.05,7.0,92.41780188697771,116.56879541144926,166352.0433965599,895.886855026825,99.95291186661284,13.169536768894325
2.05,7.125,94.0681197778166,118.17886164641402,169322.61560006993,880.1695417807402,100.9833542569903,13.404707068338869
2.05,7.25,95.7184376686555,119.78892788137878,172293.1878035799,864.994204853486,102.01379664736774,13.63987736778341
2.05,7.375,97.36875555949437,121.39899411634357,175263.76000708988,850.3332861271558,103.0442390377452,13.875047667227948
2.05,7.5,99.01907345033327,123.00906035130834,178234.3322105999,836.1610646917032,104.07468142812264,14.110217966672492
2.05,7.625,100.66939134117216,124.6191265862731,181204.9044141099,822.4535062541344,105.1051238185001,14.34538826611703
2.05,7.75,102.31970923201105,126.22919282123786,184175.4766176199,809.1881271210032,106.13556620887755,14.580558565561573
2.05,7.875,103.97002712284993,127.83925905620265,187146.0488211299,796.3438711349555,107.16600859925501,14.815728865006117
2.05,8.0,105.62034501368882,129.4493252911674,190116.62102463987,783.9009981484718,108.19645098963245,15.050899164450659
2.05,8.125,107.27066290452771,131.05939152613217,193087.19322814987,771.8409827923415,109.2268933800099,15.2860694638952
2.05,8.25,108.92098079536659,132.66945776109694,196057.76543165988,760.1464224470029,110.25733577038736,15.521239763339741
2.05,8.375,110.57129868620548,134.2795239960617,199028.33763516985,748.8009534552566,111.28777816076482,15.756410062784282
2.05,8.5,112.22161657704437,135.8895902310265,201998.90983867986,737.7891747279734,112.31822055114228,15.991580362228824
2.05,8.625,113.87193446788326,137.49965646599125,204969.48204218986,727.0965779927855,113.34866294151972,16.226750661673364
2.05,8.75,115.52225235872214,139.109722700956,207940.05424569987,716.70948402146,114.37910533189716,16.461920961117908
2.05,8.875,117.17257024956103,140.71978893592077,210910.62644920987,706.6149842465098,115.40954772227461,16.69709126056245
2.05,9.0,118.82288814039993,142.32985517088557,213881.19865271988,696.800887243086,116.43999011265207,16.93226156000699
2.05,9.125,120.4732060312388,143.93992140585033,216851.77085622985,687.2556696096191,117.47043250302951,17.167431859451533
2.05,9.25,122.1235239220777,145.5499876408151,219822.34305973985,677.9684308311107,118.50087489340697,17.402602158896073
2.05,9.375,123.77384181291659,147.16005387577985,222792.91526324986,668.9288517533626,119.53131728378443,17.637772458340613
2.05,9.5,125.42415970375548,148.77012011074464,225763.48746675986,660.1271563355552,120.56175967416189,17.872942757785157
2.05,9.625,127.07447759459436,150.3801863457094,228734.05967026984,651.5540763831453,121.59220206453934,18.108113057229698
