algorithm,seed,R_m,H_m,volume_m3,surface_m2,rmse_MW,minT_C,terminal_ratio,violation,runtime_s
嵌套网格+内层控制,deterministic,2.0,5.0,62.83185307179586,87.96459430051421,20.771877782574276,289.5032785651257,-0.0015720008735823547,210.69829343574787,4.0615716
差分进化-嵌套控制,202604,2.0016266519106263,5.002761371974512,62.968857080958685,88.09132457065387,20.769527224134332,289.5025637696781,-0.001574266786461689,210.69901049710836,3.4665524000000003
全局搜索+局部精修,202604,2.0012946994885787,5.000000006563118,62.91322785283839,88.03781844644588,20.77047803556307,289.5028655680337,-0.001573311966516078,210.6987077439328,0.8723084000000014
差分进化-嵌套控制,202605,2.0003396130969877,5.0044496863890355,62.90912880355647,88.03972559664297,20.770557574924688,289.5028547874116,-0.0015733409329769935,210.6987185535214,3.477099000000001
全局搜索+局部精修,202605,2.0000000061001453,5.000000039147553,62.831853947021955,87.96459513741195,20.771877767594464,289.50327856040514,-0.0015720008885218224,210.69829344048338,0.8055596000000005
差分进化-嵌套控制,202606,2.0007262758762874,5.0005322230451,62.88418758685878,88.01235808872282,20.770978553918667,289.50300916597854,-0.0015728554732144953,210.69856368949468,3.5304522999999985
全局搜索+局部精修,202606,2.0006710310757936,5.000000001679943,62.87402229190588,88.00254306420655,20.77115232014774,289.50306452730507,-0.0015726803531178073,210.69850815304804,0.8770824000000026
