time_s,time_h,demand_MW,actual_MW,q_kg_s,pump_kW,T1_C,T2_C,T3_C,T4_C,T5_C
210,0.058333333333333334,12.0,0.0,0.0,0.0,561.8752869397628,550.8901335031451,514.1820119281239,427.6573605299812,335.2861678450612
220,0.06111111111111111,12.0,0.0,0.0,0.0,561.725144808431,550.6937574018581,513.9143991595503,427.55299580175375,335.52440278680785
230,0.06388888888888888,12.0,0.0,0.0,0.0,561.5748821898835,550.497341794092,513.6476145634425,427.44924202409095,335.76146043653813
240,0.06666666666666667,12.0,0.0,0.0,0.0,561.4244993804932,550.3008892681275,513.3816543946183,427.34609390838006,335.9973469217994
250,0.06944444444444445,12.0,0.0,0.0,0.0,561.2739966840677,550.1044023833891,513.1165149244542,427.24354620968336,336.23206833133105
260,0.07222222222222222,12.0,0.0,0.0,0.0,561.1233744117288,549.9078836707195,512.8521924408226,427.14159372636885,336.4656307153434
270,0.075,12.0,0.0,0.0,0.0,560.9726328817933,549.7113356326511,512.588683248027,427.0402312997445,336.69804008579496
280,0.07777777777777778,12.0,0.0,0.0,0.0,560.821772419655,549.5147607436761,512.3259836667395,426.93945381369537,336.9293024166669
290,0.08055555555555556,12.0,0.0,0.0,0.0,560.6707933576678,549.3181614505131,512.0640900339366,426.83925619432426,337.15942364423597
300,0.08333333333333333,12.0,0.0,0.0,0.0,560.5196960350307,549.1215401723717,511.8029987028365,426.73963340959517,337.3884096673448
310,0.08611111111111111,12.0,0.0,0.0,0.0,560.3684807976737,548.9248993012149,511.5427060428353,426.64058046898003,337.6162663476703
320,0.08888888888888889,12.0,0.0,0.0,0.0,560.2171479981444,548.7282412020185,511.2832084394445,426.54209242310844,337.84299950999025
330,0.09166666666666666,12.0,0.0,0.0,0.0,560.0656979954969,548.5315682130292,511.0245022942279,426.4441643634203,338.0686149424471
340,0.09444444444444444,12.0,0.0,0.0,0.0,559.9141311551812,548.3348826460198,510.7665840247387,426.3467914218218,338.29311839681026
350,0.09722222222222222,12.0,0.0,0.0,0.0,559.7624478489344,548.1381867865415,510.509450064457,426.24996877034414,338.5165155887363
360,0.1,12.0,0.0,0.0,0.0,559.6106484546721,547.9414828941751,510.25309686272726,426.1536916208052,338.738812198027
370,0.10277777777777777,12.0,0.0,0.0,0.0,559.4587333563824,547.7447732027792,509.997520884696,426.05795522447437,338.96001386888526
380,0.10555555555555556,12.0,0.0,0.0,0.0,559.3067029440198,547.5480599207365,509.74271861124936,425.96275487173995,339.18012621016925
390,0.10833333333333334,12.0,0.0,0.0,0.0,559.1545576134012,547.351345231197,509.4886865389513,425.8680858917797,339.39915479564456
400,0.1111111111111111,12.0,0.0,0.0,0.0,559.0022977661024,547.1546312923208,509.23542117998136,425.77394365223427,339.61710516423426
410,0.11388888888888889,12.0,0.0,0.0,0.0,558.8499238093563,546.9579202375169,508.98291906207305,425.6803235588832,339.83398282026695
420,0.11666666666666667,12.0,0.0,0.0,0.0,558.6974361559517,546.7612141756806,508.7311767284522,425.5872210553239,340.0497932337232
430,0.11944444444444445,12.0,0.0,0.0,0.0,558.5448352241337,546.5645151914291,508.4801907377753,425.4946316226535,340.26454184047975
440,0.12222222222222222,12.0,0.0,0.0,0.0,558.3921214375054,546.3678253453343,508.22995766406814,425.40255077915333,340.47823404255195
450,0.125,12.0,0.0,0.0,0.0,558.2392952249293,546.1711466741539,507.98047409666475,425.31097407997606,340.6908752083343
460,0.12777777777777777,12.0,0.0,0.0,0.0,558.086357020432,545.9744811910604,507.7317366401461,425.21989711683574,340.90247067283923
470,0.13055555555555556,12.0,0.0,0.0,0.0,557.9333072631085,545.7778308858676,507.48374191427934,425.1293155177004,341.1130257379337
480,0.13333333333333333,12.0,0.0,0.0,0.0,557.7801463970274,545.5811977252561,507.236486553957,425.0392249464872,341.32254567257434
490,0.1361111111111111,12.0,0.0,0.0,0.0,557.626874871138,545.384583652995,506.9899672091362,424.9496211027607,341.5310357130406
500,0.1388888888888889,12.0,0.0,0.0,0.0,557.4734931391787,545.1879905901637,506.7441805447784,424.86049972143314,341.73850106316604
510,0.14166666666666666,12.0,0.0,0.0,0.0,557.3200016595848,544.9914204353701,506.4991232407888,424.7718565724675,341.94494689456803
520,0.14444444444444443,12.0,0.0,0.0,0.0,557.1664008953994,544.7948750649673,506.2547919919565,424.68368746058354,342.15037834687536
530,0.14722222222222223,12.0,0.0,0.0,0.0,557.0126913141839,544.5983563332688,506.01118350789426,424.59598822496554,342.3548005279543
540,0.15,12.0,0.0,0.0,0.0,556.8588733879299,544.4018660727611,505.7682945129786,424.5087547389736,342.558218514133
550,0.1527777777777778,12.0,0.0,0.0,0.0,556.7049475929722,544.2054060943144,505.52612174629036,424.4219829098565,342.76063735042385
560,0.15555555555555556,12.0,0.0,0.0,0.0,556.5509144099032,544.0089781873921,505.2846619615547,424.33566867846775,342.96206205074446
570,0.15833333333333333,12.0,0.0,0.0,0.0,556.3967743234871,543.8125841202578,505.04391192708226,424.2498080189835,343.1624975981366
580,0.16111111111111112,12.0,0.0,0.0,0.0,556.2425278225764,543.6162256401803,504.8038684257094,424.16439693862344,343.36194894498385
590,0.1638888888888889,12.0,0.0,0.0,0.0,556.0881754000288,543.4199044736372,504.5645282547395,424.07943147737365,343.56042101322714
600,0.16666666666666666,12.0,0.0,0.0,0.0,555.9337175526246,543.2236223265163,504.32588822588394,423.9949077077121,343.75791869457896
610,0.16944444444444445,12.0,0.0,0.0,0.0,555.7791547809857,543.0273808843154,504.0879451652032,423.9108217343366,343.9544468507356
620,0.17222222222222222,12.0,0.0,0.0,0.0,555.6244875894957,542.8311818123404,503.85069591304847,423.8271696938947,344.1500103135883
630,0.175,12.0,0.0,0.0,0.0,555.4697164862204,542.635026755901,503.6141373240031,423.7439477547164,344.34461388543207
640,0.17777777777777778,12.0,0.0,0.0,0.0,555.3148419828287,542.4389173405052,503.37826626682437,423.66115211654875,344.53826233917334
650,0.18055555555555555,12.0,0.0,0.0,0.0,555.1598645945163,542.2428551720519,503.1430796243854,423.5787790102932,344.7309604185361
660,0.18333333333333332,12.0,0.0,0.0,0.0,555.0047848399281,542.0468418370218,502.90857429361716,423.49682469774467,344.922712838266
670,0.18611111111111112,12.0,0.0,0.0,0.0,554.849603241083,541.8508789026662,502.67474718545077,423.41528547133333,345.11352428433355
680,0.18888888888888888,12.0,0.0,0.0,0.0,554.6943203232989,541.6549679171944,502.4415952247598,423.3341576538683,345.3033994141349
690,0.19166666666666668,12.0,0.0,0.0,0.0,554.5389366151192,541.4591104099597,502.20911535030285,423.2534375982838,345.49234285669195
700,0.19444444444444445,12.0,0.0,0.0,0.0,554.3834526482387,541.2633078916429,501.9773045146663,423.1731216873874,345.68035921285025
710,0.19722222222222222,12.0,0.0,0.0,0.0,554.2278689574327,541.0675618544346,501.74615968420716,423.0932063336101,345.8674530554758
720,0.2,12.0,0.0,0.0,0.0,554.0721860804846,540.8718737722164,501.51567783899617,423.0136879787594,346.0536289296502
730,0.20277777777777778,12.0,0.0,0.0,0.0,553.9164045581157,540.6762451007392,501.285855972761,422.9345630937734,346.23889135286424
740,0.20555555555555555,12.0,0.0,0.0,0.0,553.7605249339157,540.4806772778007,501.05669109282957,422.8558281784781,346.4232448152102
750,0.20833333333333334,12.0,0.0,0.0,0.0,553.6045477542738,540.2851717234215,500.82818022007376,422.7774797613458,346.6066937795723
760,0.2111111111111111,12.0,0.0,0.0,0.0,553.4484735683104,540.0897298400188,500.60032038885294,422.6995143992565,346.7892426818163
770,0.21388888888888888,12.0,0.0,0.0,0.0,553.2923029278102,539.894353012579,500.37310864695803,422.62192867726054,346.97089593097684
780,0.21666666666666667,12.0,0.0,0.0,0.0,553.1360363871552,539.6990426088289,500.1465420555555,422.5447192083439,347.1516579094443
790,0.21944444444444444,12.0,0.0,0.0,0.0,552.9796745032598,539.5037999794049,499.92061768913163,422.4678826331952,347.33153297314936
800,0.2222222222222222,12.0,0.0,0.0,0.0,552.8232178355057,539.3086264580209,499.69533263543684,422.3914156199746,347.51052545174673
810,0.225,12.0,0.0,0.0,0.0,552.6666669456773,539.1135233616345,499.4706839954303,422.3153148640852,347.68863964879716
820,0.22777777777777777,12.0,0.0,0.0,0.0,552.510022397899,538.9184919906122,499.24666888322474,422.23957708794575,347.8658798419483
830,0.23055555555555557,12.0,0.0,0.0,0.0,552.3532847585724,538.7235336288921,499.0232844260313,422.1641990407657,348.0422502831139
840,0.23333333333333334,12.0,0.0,0.0,0.0,552.1964545963145,538.5286495441462,498.8005277641047,422.0891774983223,348.21775519865196
850,0.2361111111111111,12.0,0.0,0.0,0.0,552.039532481897,538.3338409879404,498.5783960506883,422.01450926273907,348.3923987895413
860,0.2388888888888889,12.0,0.0,0.0,0.0,551.8825189881853,538.1391091958939,498.3568864519598,421.94019116226696,348.5661852315568
870,0.24166666666666667,12.0,0.0,0.0,0.0,551.7254146900796,537.9444553878355,498.13599614697665,421.8662200510666,348.73911867544354
880,0.24444444444444444,12.0,0.0,0.0,0.0,551.5682201644555,537.7498807679609,497.91572232762195,421.7925928089929,348.9112032470892
890,0.24722222222222223,12.0,0.0,0.0,0.0,551.4109359901064,537.5553865249863,497.69606219855035,421.7193063413813,349.08244304769556
900,0.25,12.0,0.0,0.0,0.0,551.2535627476856,537.3609738323017,497.47701297713405,421.6463575788362,349.2528421539485
910,0.25277777777777777,12.0,0.0,0.0,0.0,551.0961010196498,537.166643848123,497.2585718934094,421.57374347702057,349.42240461818676
920,0.25555555555555554,12.0,0.0,0.0,0.0,550.9385513902033,536.9723977156418,497.040736190023,421.5014610164479,349.5911344685693
930,0.25833333333333336,12.0,0.0,0.0,0.0,550.7809144452422,536.7782365631747,496.82350312217864,421.4295072022757,349.7590357092416
940,0.2611111111111111,12.0,0.0,0.0,0.0,550.6231907722998,536.5841615043107,496.606869957584,421.35787906410104,349.9261123205004
950,0.2638888888888889,12.0,0.0,0.0,0.0,550.4653809604932,536.3901736380576,496.39083397639774,421.2865736557573,350.0923682589578
960,0.26666666666666666,12.0,0.0,0.0,0.0,550.3074856004694,536.1962740489867,496.1753924711764,421.2155880551132,350.2578074577031
970,0.26944444444444443,12.0,0.0,0.0,0.0,550.1495052843526,536.0024638073762,495.96054274682194,421.14491936387327,350.4224338264646
980,0.2722222222222222,12.0,0.0,0.0,0.0,549.9914406056927,535.8087439693539,495.7462821205293,421.0745647073802,350.5862512517692
990,0.275,12.0,0.0,0.0,0.0,549.8332921594135,535.615115577038,495.5326079217341,421.0045212344187,350.74926359710145
1000,0.2777777777777778,12.0,0.0,0.0,0.0,549.6750605417624,535.421579658676,495.3195174920602,420.934786117021,350.91147470306083
1010,0.28055555555555556,12.0,0.0,0.0,0.0,549.5167463502597,535.2281372287844,495.10700818526806,420.86535655027456,351.0728883875185
1020,0.2833333333333333,12.0,0.0,0.0,0.0,549.3583501836501,535.0347892882845,494.89507736720293,420.7962297521305,351.23350844577226
1030,0.2861111111111111,12.0,0.0,0.0,0.0,549.199872641853,534.8415368246389,494.68372241574303,420.7274029632145,351.39333865070074
1040,0.28888888888888886,12.0,0.0,0.0,0.0,549.0413143259145,534.6483808119858,494.47294072074834,420.6588734466389,351.55238275291623
1050,0.2916666666666667,12.0,0.0,0.0,0.0,548.8826758379605,534.4553222112726,494.26272968400906,420.5906384878164,351.71064448091636
1060,0.29444444444444445,12.0,0.0,0.0,0.0,548.7239577811486,534.2623619703876,494.0530867191949,420.52269539427573,351.86812754123486
1070,0.2972222222222222,12.0,0.0,0.0,0.0,548.5651607596225,534.0695010242911,493.84400925180375,420.4550414954782,352.0248356185909
1080,0.3,12.0,0.0,0.0,0.0,548.4062853784659,533.876740295145,493.63549471911125,420.3876741426367,352.1807723760374
1090,0.30277777777777776,12.0,0.0,0.0,0.0,548.2473322436575,533.6840806924417,493.42754057012013,420.3205907085353,352.33594145510835
1100,0.3055555555555556,12.0,0.0,0.0,0.0,548.0883019620261,533.4915231131306,493.22014426550976,420.2537885873513,352.4903464759649
1110,0.30833333333333335,12.0,0.0,0.0,0.0,547.9291951412066,533.2990684417446,493.0133032775859,420.18726519447824,352.6439910375403
1120,0.3111111111111111,12.0,0.0,0.0,0.0,547.7700123895968,533.1067175505253,492.8070150902309,420.12101796635034,352.7968787176839
1130,0.3138888888888889,12.0,0.0,0.0,0.0,547.6107543163139,532.9144712995466,492.6012771988535,420.0550443602688,352.9490130733041
1140,0.31666666666666665,12.0,0.0,0.0,0.0,547.4514215311525,532.7223305368369,492.3960871103394,419.9893418542297,353.10039764051004
1150,0.3194444444444444,12.0,0.0,0.0,0.0,547.292014644543,532.5302960985016,492.1914423430016,419.92390794675254,353.25103593475217
1160,0.32222222222222224,12.0,0.0,0.0,0.0,547.1325342675098,532.3383688088426,491.98734042653103,419.85874015671135,353.4009314509622
1170,0.325,12.0,0.0,0.0,0.0,546.9729810116308,532.1465494804779,491.7837789019475,419.79383602316636,353.5500876636916
1180,0.3277777777777778,12.0,0.0,0.0,0.0,546.8133554889974,531.95483891446,491.5807553215507,419.72919310519757,353.69850802724915
1190,0.33055555555555555,12.0,0.0,0.0,0.0,546.6536583121745,531.7632379003925,491.3782672488713,419.66480898173955,353.8461959758375
1200,0.3333333333333333,12.0,0.0,0.0,0.0,546.4938900941612,531.5717472165466,491.17631225862215,419.60068125141777,353.9931549236888
1210,0.33611111111111114,12.0,0.0,0.0,0.0,546.3340514483527,531.3803676299756,490.97488793665013,419.5368075323862,354.1393882651991
1220,0.3388888888888889,12.0,0.0,0.0,0.0,546.1741429885019,531.1890998966292,490.7739918798877,419.4731854621665,354.2848993750621
1230,0.3416666666666667,12.0,0.0,0.0,0.0,546.0141653286815,530.9979447614659,490.57362169630477,419.4098126974881,354.42969160840136
1240,0.34444444444444444,12.0,0.0,0.0,0.0,545.8541190832475,530.8069029585649,490.3737750048606,419.34668691413043,354.5737683009021
1250,0.3472222222222222,12.0,0.0,0.0,0.0,545.694004866802,530.615975211237,490.17444943545627,419.28380580676566,354.7171327689416
1260,0.35,12.0,0.0,0.0,0.0,545.5338232941572,530.425162232134,489.97564262888693,419.2211670888033,354.85978830971897
1270,0.3527777777777778,12.0,0.0,0.0,0.0,545.3735749803,530.2344647233575,489.77735223679434,419.1587684922361,355.0017382013836
1280,0.35555555555555557,12.0,0.0,0.0,0.0,545.2132605403566,530.0438833765668,489.5795759216198,419.09660776748694,355.1429857031629
1290,0.35833333333333334,12.0,0.0,0.0,0.0,545.052880589558,529.853418873085,489.38231135655667,419.0346826832573,355.28353405548904
