algorithm,seed,runtime_s,success,rmse_mw,pump_kwh,min_T1_c,constraint_violation_c
加权和-SLSQP,202603,13.168683,True,21.62463872530591,0.0,373.8004306076238,126.19956939237619
多目标进化(NSGA-II结构),202603,2.033216300000001,False,20.51628260586038,478.59083692196583,274.2295588350767,225.77044116492328
加权和-SLSQP,202604,13.2169083,True,21.62463872530591,0.0,373.8004306076238,126.19956939237619
多目标进化(NSGA-II结构),202604,2.0205117,False,20.657069802624815,477.6703965891275,274.3864088525737,225.6135911474263
加权和-SLSQP,202605,13.197572699999998,True,21.62463872530591,0.0,373.8004306076238,126.19956939237619
多目标进化(NSGA-II结构),202605,2.0503006,False,20.211576877714332,400.3495130147028,274.2618513274247,225.73814867257528
