方案,RMSE_MW,最大偏差_MW,欠供热_MWh,泵耗_kWh,最低T1_C,温度裕量_C,最大爬坡违反_kg_s
零流量可行性证书,21.62463872530591,32.0,81.5,0.0,373.80043060746976,-126.19956939253024,0.0
分段需求反演/MPC启发式,20.4929192220872,33.463232317822296,68.46454059219683,519.9307810113093,274.697982363247,-225.30201763675302,0.0
加权和-SLSQP(seed=202603),21.62463872530591,32.0,81.5,0.0,373.80043060746976,-126.19956939253024,0.0
多目标进化(seed=202603),20.516626185533813,33.39375363448374,69.69787716987702,478.59083692196583,274.2295462038064,-225.77045379619358,7.105427357601002e-15
加权和-SLSQP(seed=202604),21.62463872530591,32.0,81.5,0.0,373.80043060746976,-126.19956939253024,0.0
多目标进化(seed=202604),20.65739078885832,33.46102232502314,69.54193218463507,477.6703965891275,274.38640888327666,-225.61359111672334,0.0
加权和-SLSQP(seed=202605),21.62463872530591,32.0,81.5,0.0,373.80043060746976,-126.19956939253024,0.0
多目标进化(seed=202605),20.21185676321864,32.57980874941186,70.10516722800693,400.34951301470284,274.2618513642939,-225.73814863570612,0.0
